State,2015,2016,2017,2018,2019,2020,2021,2022
Abia,41,54,26,39,46,60,68,52
Adamawa,70,42,71,44,73,71,93,106
Akwa Ibom,41,34,48,49,36,12,33,43
Anambra,184,77,79,70,94,67,89,74
Bauchi,139,226,192,245,306,238,396,339
Bayelsa,13,11,21,14,3,21,35,8
Benue,159,122,136,101,145,55,61,118
Borno,0,40,21,55,24,29,36,120
River,113,73,43,39,44,72,70,64
Delta,145,125,125,123,83,91,120,149
Ebonyi,180,127,133,81,55,54,89,68
Edo,178,122,145,142,152,159,158,141
Ekiti,24,19,27,31,32,19,48,41
Enugu,94,118,115,100,71,65,108,99
FCT,318,253,287,281,209,174,216,403
Gombe,113,158,73,65,144,63,102,107
Imo,66,51,98,72,56,37,69,51
Jigawa,68,116,160,301,147,124,208,173
Kaduna,440,505,558,597,385,414,677,680
Kano,130,190,224,204,183,292,250,363
Katsina,142,179,161,161,152,187,115,168
Kebbi,97,47,174,50,40,104,112,117
Kogi,300,223,256,187,160,129,229,293
Kwara,130,110,135,200,160,232,246,237
Lagos,105,165,113,100,99,102,157,179
Nasarawa,188,192,190,202,193,130,222,270
Niger,187,234,197,289,265,205,454,367
Ogun,292,279,218,281,314,279,430,395
Ondo,198,238,185,233,141,159,203,181
Osun,223,164,181,146,128,125,240,118
Oyo,222,311,227,239,244,220,339,305
Plateau,72,74,69,85,58,53,97,136
Rivers,65,45,46,59,21,12,56,38
Sokoto,101,73,84,60,65,56,110,145
Taraba,15,52,2,26,8,27,36,57
Yobe,90,114,31,117,37,129,118,193
Zamfara,132,90,37,93,33,116,115,58
